epcount,tcount,eprew,eplen_std,eplen_recent_best,wait_step,rets_ext,eplen,eprew_best,eprew_recent_best,rets_int,time_elapsed,wait_policy_inference,eplen_best,eplen_histmean,eprew_std,eprew_histmean,wait_update,n_updates
230907,22278361,101.13931215667542,2.481991851933732,59,354.74505162239075,77.88778,62.52949605923095,102.6,102.6,0.51973444,32604.607640504837,17.724650382995605,59,63.03,1.0023294124277344,100.93799999999999,221.12121081352234,85
235105,22540307,101.19109099571223,2.5681589996445857,59,354.39437913894653,78.22954,62.39780848022868,102.6,102.6,0.52039725,32959.02058649063,17.822495937347412,59,62.43,1.036327622530415,101.17199999999998,219.68512535095215,86
239316,22802553,101.24388506293042,2.3369787288233943,59,354.6502559185028,78.638535,62.276418902873424,102.6,102.6,0.5246227,33313.70011663437,17.670666456222534,59,62.21,0.9432244146832888,101.279,219.22185063362122,87
243538,23064984,101.29298910468972,2.4010313790615605,59,353.2594838142395,78.85148,62.15798199905258,102.6,102.6,0.5422668,33666.99926686287,17.666922569274902,59,62.07,0.9701993130945011,101.32299999999998,219.38474535942078,88
247763,23327077,101.34265088757395,2.5937640282646237,59,353.8029887676239,78.88285,62.033846153846156,102.6,102.6,0.52567714,34020.81975388527,17.9357750415802,59,61.88,1.0486502240126099,101.40899999999996,220.05068564414978,89
251993,23589285,101.36815602836879,2.6639774009089248,59,351.86194133758545,78.77142,61.98770685579196,102.6,102.6,0.5167748,34372.70515823364,17.705138444900513,59,62.14,1.0753217800909132,101.31100000000002,216.685307264328,90
256232,23851090,101.46369426751592,2.259781073782659,59,351.89762926101685,78.84286,61.76102854446803,102.6,102.6,0.51630205,34724.77886939049,17.628752946853638,59,61.51,0.9146061958343206,101.56299999999997,218.12213897705078,91
260480,24113153,101.4852165725047,2.122494604597237,59,353.3197708129883,78.904526,61.69091337099812,102.6,102.6,0.52678853,35078.122066020966,17.809497594833374,59,62.13,0.8614100144433866,101.311,217.85544967651367,92
264740,24375327,101.55143192488262,1.924578643121293,59,355.95187282562256,78.76502,61.54319248826291,102.6,102.6,0.5268343,35434.081572294235,17.66402316093445,59,61.32,0.7807425839897424,101.63600000000001,220.92344617843628,93
269009,24637628,101.59681424221128,1.7399091541551048,59,358.074569940567,78.8077,61.44319512766456,102.6,102.6,0.51521575,35792.20849895477,18.007426500320435,59,61.59,0.7063969451429569,101.54199999999999,224.17730450630188,94
273278,24899645,101.62649332396346,1.8716308831802781,59,355.5876727104187,79.10014,61.37666900913563,102.6,102.6,0.51712435,36147.826516628265,17.91832423210144,59,61.32,0.7623971277693479,101.65299999999998,219.39823961257935,95
277554,25161678,101.6633769878391,1.5010067078349942,58,354.81596636772156,79.205894,61.27993451824135,102.8,102.8,0.52863896,36502.672728300095,17.650612115859985,58,61.38,0.6104264094702699,101.62100000000001,221.3030378818512,96
281832,25423874,101.6609396914446,1.7613412769344838,59,353.7486741542816,79.37283,61.28938756428237,102.8,102.6,0.539585,36856.439244270325,17.70851230621338,58,61.22,0.7137078678468891,101.68299999999998,218.84553480148315,97
286122,25686531,101.69065268065268,1.6064432136343403,58,353.2792408466339,79.34709,61.22540792540793,103.0,103.0,0.53748983,37209.75287222862,17.588181257247925,58,60.99,0.652278626183472,101.79099999999998,219.19341468811035,98
290395,25948027,101.6997191668617,1.7224097018986215,59,352.68743562698364,79.404106,61.197285279663,103.0,102.6,0.540708,37562.46387195587,17.636472702026367,58,61.28,0.698934306801112,101.664,217.8354573249817,99
294690,26210640,101.71536670547148,1.54611511847298,59,352.5990090370178,79.36397,61.143888242142026,103.0,102.6,0.53978693,37915.08821821213,17.692880392074585,58,61.05,0.6259550649143594,101.75399999999998,218.201340675354,100
298981,26472660,101.75094383593567,1.4153778536605646,58,358.60686349868774,79.50779,61.062689349801914,103.0,103.0,0.53687644,38273.86327672005,17.76721429824829,58,61.07,0.5759297707047916,101.749,222.68354105949402,101
303269,26734442,101.75569029850746,1.6373184047284,58,356.30051589012146,79.2678,61.04990671641791,103.0,103.0,0.5217351,38630.18820166588,17.646873950958252,58,60.91,0.6641262700665048,101.81200000000001,220.0691213607788,102
