best_ext_ret,recent_best_eplen,eplen,tcount,eprew_std,recent_worst_eplen,recent_best_ext_ret,best_eplen,n_updates,rew_mean,eprew,eprew_recent,epcount,total_secs,eplen_std
249.3,83,87.09,62969801,0.767251588,175,248.8,82,246,2.8355103,247.205,247.0564593,508897,61637.43631,1.970253791
249.3,83,87.18,63226593,1.54696477,187,248.8,82,247,2.8407626,247.17,247.0604223,511833,61887.43719,3.897127147
249.3,83,87.38,63482535,1.825312028,273,248.8,82,248,2.8219063,247.094,246.937037,514749,62136.80795,4.577728694
249.3,84,87.38,63738130,1.64091316,214,248.7,82,249,2.8344498,247.098,247.1147933,517676,62387.74104,4.189940334
249.3,83,87.66,63994116,1.850401038,375,248.8,82,250,2.8316605,246.996,246.9880424,520603,62639.37847,4.630809864
249.3,83,86.91,64250222,1.453829082,180,248.8,82,251,2.8405972,247.291,247.0966564,523534,62887.2294,3.696200752
249.3,83,87.28,64506641,1.345898956,203,248.9,82,252,2.8364038,247.134,247.0408874,526464,63138.95184,3.441162594
249.3,83,89.25,64762753,8.164832148,288,248.8,82,253,2.8397954,246.354,247.1074011,529396,63387.85687,20.44914424
249.3,83,86.48,65017890,0.445478395,154,248.8,82,254,2.837938,247.443,247.1694805,532322,63638.65469,1.14437756
249.3,83,86.44,65273774,0.345114474,151,248.8,82,255,2.8525085,247.464,247.2695549,535265,63887.05425,0.897997773
249.3,83,86.7,65529997,0.484003099,165,248.9,82,256,2.839842,247.371,247.119257,538199,64137.82967,1.228820573
249.3,83,86.37,65785878,0.396186825,184,249,82,257,2.8454278,247.494,247.2108237,541137,64388.06035,0.986458311
249.3,83,87.01,66042511,1.372837937,176,248.8,82,258,2.8502326,247.246,247.1656813,544080,64639.29654,3.47992816
249.3,83,86.43,66298212,0.494889887,168,248.8,82,259,2.8477294,247.478,247.221859,547017,64889.36488,1.313430622
249.3,83,87.34,66554351,2.251800169,245,248.9,82,260,2.8517315,247.114,247.2558574,549962,65144.69002,5.676653944
249.3,84,86.54,66810262,0.625359896,327,248.5,82,261,2.8474288,247.425,247.2033356,552900,65398.90197,1.590094337
249.3,84,86.76,67066284,1.671744897,165,248.5,82,262,2.8527708,247.363,247.2507645,555843,65650.63038,4.224026515
249.3,83,86.3,67322110,0.241039416,197,248.8,82,263,2.8483162,247.53,247.2282409,558782,65908.03528,0.640312424
249.3,83,86.39,67578446,0.433565451,329,248.8,82,264,2.8521554,247.489,247.2426341,561728,66159.65503,1.085311015
