recent_best_ext_ret,eprew_std,eplen,recent_best_eplen,tcount,best_eplen,recent_worst_eplen,rew_mean,eprew,eprew_recent,epcount,total_secs,eplen_std,best_ext_ret,n_updates
4.65625,1.8433917819385952,70.0,70,19837440.0,70,70,0.010047667,0.8109375,0.34974407327586204,283392.0,115514.28512954712,0.0,9.4375,155
6.21875,1.7150567991232097,70.0,70,19967360.0,70,70,0.014230016,1.1778125,0.5416891163793104,285248.0,116261.56630063057,0.0,9.4375,156
7.0,2.1536945001554884,70.0,70,20092800.0,70,70,0.014869089,0.04,0.5906284877232143,287040.0,117000.25766587257,0.0,9.4375,157
6.21875,1.9995999599919978,70.0,70,20222720.0,70,70,0.009564841,-0.04,0.2727976831896552,288896.0,117735.18344402313,0.0,9.4375,158
6.21875,1.5728363114132378,70.0,70,20348160.0,70,70,0.017467411,1.24625,0.5613664899553571,290688.0,118477.8459508419,0.0,9.4375,159
4.65625,1.999599959991998,70.0,70,20478080.0,70,70,0.010915455,0.04,0.5165678879310345,292544.0,119211.95215439796,0.0,9.4375,160
6.21875,2.0811088540727516,70.0,70,20603520.0,70,70,0.011628635,0.12625,0.24905831473214285,294336.0,119954.34420800209,0.0,9.4375,161
6.21875,1.894835085172322,70.0,70,20733440.0,70,70,0.017003858,0.64,0.829522494612069,296192.0,120692.69239783287,0.0,9.4375,162
5.4375,1.9544576453584255,70.0,70,20863360.0,70,70,0.015643192,0.53875,0.6329640355603449,298048.0,121456.77497053146,0.0,9.4375,163
5.4375,1.98997487421324,70.0,70,20988800.0,70,70,0.014493683,0.2,0.5503801618303571,299840.0,122223.60356664658,0.0,9.4375,164
8.5625,1.6217569501835811,70.0,70,21118720.0,70,70,0.01202082,1.6753125,0.4220265355603448,301696.0,122973.38394737244,0.0,9.4375,165
6.21875,2.0029020936818154,70.0,70,21244160.0,70,70,0.014027716,0.043125,0.3845912388392857,303488.0,123711.24814653397,0.0,9.4375,166
10.125,1.9509997437211517,70.0,70,21374080.0,70,70,0.013252179,-0.44,0.6315328663793104,305344.0,124444.97435259819,0.0,10.125,167
5.4375,1.7686092037601184,70.0,70,21499520.0,70,70,0.012242987,1.328125,0.3312290736607143,307136.0,125191.95725512505,0.0,10.125,168
5.4375,2.0,70.0,70,21629440.0,70,70,0.012472272,0.0,0.45437095905172414,308992.0,125951.86996603012,0.0,10.125,169
5.4375,1.9701819197411699,70.0,70,21759360.0,70,70,0.008026489,0.363125,0.09413725754310345,310848.0,126707.12820696831,0.0,10.125,170
6.21875,2.140654105641545,70.0,70,21884800.0,70,70,0.012288834,-0.24,0.3465053013392857,312640.0,127455.50953888893,0.0,10.125,171
4.65625,2.0470466531078375,70.0,70,22014720.0,70,70,0.008842674,0.36,0.24774380387931033,314496.0,128193.92071056366,0.0,10.125,172
6.21875,1.9963967541548446,70.0,70,22140160.0,70,70,0.014436401,0.12,0.35850306919642855,316288.0,128937.64036464691,0.0,10.125,173
9.34375,1.9742340286804907,70.0,70,22270080.0,70,70,0.008589283,0.32,0.33587015086206895,318144.0,129676.15842938423,0.0,10.125,174
10.90625,1.6864423479528585,70.0,70,22395520.0,70,70,0.0137958415,1.1496875,0.39669363839285715,319936.0,130425.63992404938,0.0,10.90625,175
10.90625,2.2246048630880493,70.0,70,22525440.0,70,70,0.013981103,-0.156875,0.6082132273706896,321792.0,131164.12557649612,0.0,10.90625,176
7.78125,1.9078784028338913,70.0,70,22655360.0,70,70,0.012906531,-1.0,0.40587957974137934,323648.0,131909.62902998924,0.0,10.90625,177
5.4375,1.989755279982629,70.0,70,22780800.0,70,70,0.014715597,0.4665625,0.5703996930803571,325440.0,132653.7742512226,0.0,10.90625,178
